banned champion id,count,from,to,server,league
,,2020.11.10,2020.11.30,kr,challenger
-1,2692,,,,
360,2387,,,,
84,1294,,,,
104,1192,,,,
80,1172,,,,
120,775,,,,
30,644,,,,
236,389,,,,
89,375,,,,
3,332,,,,
876,331,,,,
164,315,,,,
245,313,,,,
141,308,,,,
142,307,,,,
24,280,,,,
147,269,,,,
58,266,,,,
777,259,,,,
202,229,,,,
121,224,,,,
76,222,,,,
91,205,,,,
517,193,,,,
112,192,,,,
117,191,,,,
54,140,,,,
126,138,,,,
421,120,,,,
246,110,,,,
875,107,,,,
12,105,,,,
25,78,,,,
7,78,,,,
105,76,,,,
412,72,,,,
55,70,,,,
203,70,,,,
60,67,,,,
20,62,,,,
145,61,,,,
432,59,,,,
114,56,,,,
39,55,,,,
32,51,,,,
81,43,,,,
86,43,,,,
102,42,,,,
8,42,,,,
61,41,,,,
85,41,,,,
98,40,,,,
134,39,,,,
107,34,,,,
4,32,,,,
497,31,,,,
67,29,,,,
1,28,,,,
555,28,,,,
27,28,,,,
235,27,,,,
28,26,,,,
68,26,,,,
19,26,,,,
122,26,,,,
57,24,,,,
2,23,,,,
157,22,,,,
9,22,,,,
523,21,,,,
22,21,,,,
238,16,,,,
41,15,,,,
119,14,,,,
62,13,,,,
10,13,,,,
223,13,,,,
69,12,,,,
17,12,,,,
33,11,,,,
21,11,,,,
74,11,,,,
427,11,,,,
266,11,,,,
64,10,,,,
29,10,,,,
106,10,,,,
163,9,,,,
72,8,,,,
35,8,,,,
51,8,,,,
53,7,,,,
78,7,,,,
154,7,,,,
50,6,,,,
44,6,,,,
115,6,,,,
133,6,,,,
38,6,,,,
113,6,,,,
518,6,,,,
90,5,,,,
36,5,,,,
11,5,,,,
350,5,,,,
5,5,,,,
516,5,,,,
143,5,,,,
267,4,,,,
79,4,,,,
45,4,,,,
420,4,,,,
201,4,,,,
150,4,,,,
16,4,,,,
99,4,,,,
75,4,,,,
63,4,,,,
222,3,,,,
240,3,,,,
40,3,,,,
34,3,,,,
56,2,,,,
110,2,,,,
31,2,,,,
82,2,,,,
111,2,,,,
83,2,,,,
23,2,,,,
268,1,,,,
42,1,,,,
6,1,,,,
59,1,,,,
26,1,,,,
136,1,,,,
92,1,,,,
13,1,,,,
127,1,,,,
43,1,,,,
103,1,,,,
37,1,,,,
77,1,,,,
131,1,,,,
