piccked champion id,count,from,to,server,league
,,2020.11.29,2020.11.30,euw1,challenger
202,77,,,,
81,59,,,,
104,57,,,,
412,48,,,,
517,43,,,,
84,43,,,,
164,41,,,,
876,39,,,,
145,34,,,,
497,33,,,,
236,33,,,,
777,31,,,,
245,26,,,,
141,26,,,,
121,25,,,,
432,25,,,,
61,24,,,,
89,24,,,,
120,21,,,,
21,20,,,,
360,20,,,,
92,18,,,,
112,18,,,,
39,17,,,,
98,17,,,,
875,17,,,,
54,17,,,,
58,16,,,,
80,16,,,,
12,16,,,,
3,15,,,,
111,14,,,,
266,14,,,,
4,14,,,,
203,14,,,,
157,14,,,,
7,14,,,,
79,13,,,,
114,13,,,,
555,13,,,,
147,13,,,,
20,12,,,,
10,12,,,,
69,12,,,,
22,12,,,,
28,10,,,,
55,10,,,,
63,10,,,,
43,10,,,,
76,10,,,,
2,9,,,,
62,9,,,,
106,9,,,,
5,9,,,,
40,9,,,,
126,9,,,,
235,9,,,,
78,8,,,,
85,8,,,,
24,8,,,,
64,8,,,,
14,8,,,,
134,8,,,,
110,8,,,,
38,8,,,,
57,8,,,,
117,8,,,,
119,8,,,,
26,7,,,,
77,7,,,,
60,7,,,,
267,7,,,,
421,7,,,,
113,7,,,,
105,7,,,,
102,6,,,,
523,6,,,,
8,6,,,,
51,6,,,,
44,6,,,,
53,6,,,,
30,6,,,,
25,5,,,,
29,5,,,,
107,5,,,,
35,5,,,,
41,5,,,,
68,5,,,,
36,5,,,,
131,5,,,,
133,4,,,,
429,4,,,,
240,4,,,,
238,4,,,,
154,4,,,,
18,4,,,,
350,4,,,,
67,4,,,,
72,4,,,,
122,4,,,,
498,4,,,,
13,4,,,,
163,4,,,,
1,3,,,,
201,3,,,,
23,3,,,,
516,3,,,,
142,3,,,,
32,3,,,,
6,3,,,,
99,2,,,,
86,2,,,,
115,2,,,,
48,2,,,,
246,2,,,,
150,2,,,,
96,2,,,,
161,2,,,,
31,2,,,,
127,2,,,,
74,2,,,,
17,2,,,,
82,1,,,,
254,1,,,,
268,1,,,,
16,1,,,,
101,1,,,,
9,1,,,,
50,1,,,,
59,1,,,,
33,1,,,,
518,1,,,,
15,1,,,,
