user,championId,gamesPlayed,winrate,from,to,server,league
,,,,2020.11.10,2020.11.30,kr,challenger
UltramanT1ga,81,6,1,,,,
SANDBOX OnFleek,412,6,1,,,,
A little st0ry,164,5,1,,,,
heeseong,61,4,1,,,,
퇴근시간1,236,4,1,,,,
A little st0ry,202,4,1,,,,
FA Natalie,126,4,1,,,,
T1 Crescent,164,4,1,,,,
쪼렙이다말로하자,12,4,1,,,,
zhoupengyuan,84,4,1,,,,
스컬지,126,4,1,,,,
이 차가 식기전에,89,4,1,,,,
V5zhao874906839,112,4,1,,,,
wshgr,84,4,1,,,,
Starry0v0,84,4,1,,,,
T1 Oner,145,4,1,,,,
Shining fans,98,4,1,,,,
미쳐놈,777,3,1,,,,
SANDBOX Muru,126,3,1,,,,
엘 림,89,3,1,,,,
xrk2021,145,3,1,,,,
FA GGul,875,3,1,,,,
ping siba,68,3,1,,,,
HUYATV Cid,54,3,1,,,,
Juhana,412,3,1,,,,
T1 Gumayusi,84,3,1,,,,
llIllIIlIllIlIll,875,3,1,,,,
FA Light,235,3,1,,,,
Starry0v0,81,3,1,,,,
Majo no Tabi,104,3,1,,,,
모찌피치모찌피치,3,3,1,,,,
DDDDoil,12,3,1,,,,
YSYZ,121,3,1,,,,
Starry0v0,3,3,1,,,,
FA Chasy,110,3,1,,,,
이것으로마칩니다,497,3,1,,,,
SANDBOX Muru,164,3,1,,,,
zhoupengyuan,245,3,1,,,,
knightzz,12,3,1,,,,
FA Natalie,3,3,1,,,,
FA Minit,3,3,1,,,,
SANDBOX Croco,517,3,1,,,,
i no hope,24,3,1,,,,
UltramanT1ga,523,3,1,,,,
Gen G Ophelia,113,3,1,,,,
이것으로마칩니다,517,3,1,,,,
yylw102b,141,3,1,,,,
Starry0v0,85,3,1,,,,
보충제내놔,202,3,1,,,,
SANDBOX OnFleek,360,3,1,,,,
fat sheep,89,3,1,,,,
이것으로마칩니다,104,3,1,,,,
Seize the day11,120,3,1,,,,
Shining fans,120,3,1,,,,
Arrowlol,21,2,1,,,,
고파 우 개미,80,2,1,,,,
FA Natalie,98,2,1,,,,
daydayup,245,2,1,,,,
밤이싫어,12,2,1,,,,
elole,350,2,1,,,,
xrk2021,13,2,1,,,,
미쳐놈,21,2,1,,,,
이것으로마칩니다,58,2,1,,,,
피즈 조이,236,2,1,,,,
ig nugur1,18,2,1,,,,
말을잘못하는사람,20,2,1,,,,
Shining fans,360,2,1,,,,
SANDBOX OnFleek,147,2,1,,,,
SANDBOX OnFleek,245,2,1,,,,
익산누누,145,2,1,,,,
llIllIIlIllIlIll,147,2,1,,,,
Juhana,98,2,1,,,,
Shining fans,21,2,1,,,,
SoftM,21,2,1,,,,
Starry0v0,21,2,1,,,,
HSHTM,147,2,1,,,,
직스 좀 믿어줘,145,2,1,,,,
yylw102b,21,2,1,,,,
ping siba,113,2,1,,,,
T1 Keria,236,2,1,,,,
i no hope,7,2,1,,,,
KTB TOP,104,2,1,,,,
SANDBOX Route,89,2,1,,,,
타 잔,497,2,1,,,,
Baldado,8,2,1,,,,
DRX HP1,8,2,1,,,,
Awe Serenity,164,2,1,,,,
Annie Leonhar,164,2,1,,,,
OMGqx1328035572,92,2,1,,,,
Sangchu,10,2,1,,,,
Annie Leonhar,12,2,1,,,,
fat sheep,62,2,1,,,,
elole,12,2,1,,,,
FA Chasy,98,2,1,,,,
버도링딩동그랑땡,112,2,1,,,,
에르피디,112,2,1,,,,
Gen G Karis,12,2,1,,,,
SSUNSSUN,89,2,1,,,,
Juhana,104,2,1,,,,
DYN Rlch,64,2,1,,,,
Gen G Karis,141,2,1,,,,
ig nugur1,141,2,1,,,,
FA Chasy,114,2,1,,,,
미쳐놈,121,2,1,,,,
nine3,12,2,1,,,,
두꺼비압수,157,2,1,,,,
애드ON,121,2,1,,,,
heeseong,45,2,1,,,,
밤이싫어,412,2,1,,,,
Seize the day11,246,2,1,,,,
미쳐놈,412,2,1,,,,
못 난 놈 들1,412,2,1,,,,
esortazione,103,2,1,,,,
Sangchu,39,2,1,,,,
T1 Berserker,39,2,1,,,,
V5zhao874906839,102,2,1,,,,
weibohan,412,2,1,,,,
Starry0v0,102,2,1,,,,
잘못박은사람,57,2,1,,,,
HSHTM,76,2,1,,,,
T1 Keria,126,2,1,,,,
Gen G Ophelia,145,2,1,,,,
SANDBOX Route,145,2,1,,,,
Fanch,145,2,1,,,,
파이팅 인생,89,2,1,,,,
yuioplmnbvcfgjhk,126,2,1,,,,
Sangchu,142,2,1,,,,
xrk2021,142,2,1,,,,
