champion id,picks,bans,sum,ratio,from,to,server,league
,,,,,2020.11.10,2020.11.30,kr,challenger
1,50,28,78,1.7857142857142858,,,,
2,103,23,126,4.478260869565218,,,,
3,396,332,728,1.1927710843373494,,,,
4,65,32,97,2.03125,,,,
5,31,5,36,6.2,,,,
6,10,1,11,10,,,,
7,96,78,174,1.2307692307692308,,,,
8,131,42,173,3.119047619047619,,,,
9,8,22,30,0.36363636363636365,,,,
10,27,13,40,2.076923076923077,,,,
11,6,5,11,1.2,,,,
12,399,105,504,3.8,,,,
13,52,1,53,52,,,,
16,6,4,10,1.5,,,,
17,2,12,14,0.16666666666666666,,,,
19,1,26,27,0.038461538461538464,,,,
20,64,62,126,1.032258064516129,,,,
21,216,11,227,19.636363636363637,,,,
22,133,21,154,6.333333333333333,,,,
23,7,2,9,3.5,,,,
24,224,280,504,0.8,,,,
25,50,78,128,0.6410256410256411,,,,
26,1,1,2,1,,,,
27,43,28,71,1.5357142857142858,,,,
28,31,26,57,1.1923076923076923,,,,
29,25,10,35,2.5,,,,
30,101,644,745,0.15683229813664595,,,,
31,2,2,4,1,,,,
32,58,51,109,1.1372549019607843,,,,
33,7,11,18,0.6363636363636364,,,,
34,2,3,5,0.6666666666666666,,,,
35,7,8,15,0.875,,,,
36,2,5,7,0.4,,,,
37,1,1,2,1,,,,
38,19,6,25,3.1666666666666665,,,,
39,139,55,194,2.5272727272727273,,,,
40,59,3,62,19.666666666666668,,,,
41,78,15,93,5.2,,,,
42,4,1,5,4,,,,
43,60,1,61,60,,,,
44,20,6,26,3.3333333333333335,,,,
45,1,4,5,0.25,,,,
50,25,6,31,4.166666666666667,,,,
51,39,8,47,4.875,,,,
53,17,7,24,2.4285714285714284,,,,
54,228,140,368,1.6285714285714286,,,,
55,19,70,89,0.2714285714285714,,,,
56,9,2,11,4.5,,,,
57,214,24,238,8.916666666666666,,,,
58,222,266,488,0.8345864661654135,,,,
59,31,1,32,31,,,,
60,112,67,179,1.671641791044776,,,,
61,149,41,190,3.6341463414634148,,,,
62,113,13,126,8.692307692307692,,,,
63,29,4,33,7.25,,,,
64,110,10,120,11,,,,
67,155,29,184,5.344827586206897,,,,
68,178,26,204,6.846153846153846,,,,
69,63,12,75,5.25,,,,
72,40,8,48,5,,,,
74,11,11,22,1,,,,
75,6,4,10,1.5,,,,
76,206,222,428,0.9279279279279279,,,,
77,6,1,7,6,,,,
78,80,7,87,11.428571428571429,,,,
79,42,4,46,10.5,,,,
80,419,1172,1591,0.3575085324232082,,,,
81,327,43,370,7.604651162790698,,,,
82,21,2,23,10.5,,,,
83,1,2,3,0.5,,,,
84,500,1294,1794,0.38639876352395675,,,,
85,150,41,191,3.658536585365854,,,,
86,1,43,44,0.023255813953488372,,,,
89,550,375,925,1.4666666666666666,,,,
90,14,5,19,2.8,,,,
91,67,205,272,0.32682926829268294,,,,
92,15,1,16,15,,,,
98,200,40,240,5,,,,
99,13,4,17,3.25,,,,
102,65,42,107,1.5476190476190477,,,,
103,16,1,17,16,,,,
104,643,1192,1835,0.5394295302013423,,,,
105,114,76,190,1.5,,,,
106,121,10,131,12.1,,,,
107,22,34,56,0.6470588235294118,,,,
110,26,2,28,13,,,,
111,92,2,94,46,,,,
112,330,192,522,1.71875,,,,
113,75,6,81,12.5,,,,
114,152,56,208,2.7142857142857144,,,,
115,7,6,13,1.1666666666666667,,,,
117,84,191,275,0.4397905759162304,,,,
119,36,14,50,2.5714285714285716,,,,
120,410,775,1185,0.5290322580645161,,,,
121,249,224,473,1.1116071428571428,,,,
122,53,26,79,2.0384615384615383,,,,
126,402,138,540,2.9130434782608696,,,,
127,14,1,15,14,,,,
131,26,1,27,26,,,,
133,9,6,15,1.5,,,,
134,149,39,188,3.8205128205128207,,,,
136,5,1,6,5,,,,
141,341,308,649,1.1071428571428572,,,,
142,149,307,456,0.48534201954397393,,,,
143,5,5,10,1,,,,
145,832,61,893,13.639344262295081,,,,
147,139,269,408,0.516728624535316,,,,
150,3,4,7,0.75,,,,
154,49,7,56,7,,,,
157,87,22,109,3.9545454545454546,,,,
163,38,9,47,4.222222222222222,,,,
164,580,315,895,1.8412698412698412,,,,
201,58,4,62,14.5,,,,
202,882,229,1111,3.851528384279476,,,,
203,215,70,285,3.0714285714285716,,,,
222,30,3,33,10,,,,
223,54,13,67,4.153846153846154,,,,
235,76,27,103,2.814814814814815,,,,
236,518,389,907,1.3316195372750643,,,,
238,38,16,54,2.375,,,,
240,21,3,24,7,,,,
245,421,313,734,1.3450479233226837,,,,
246,121,110,231,1.1,,,,
266,168,11,179,15.272727272727273,,,,
267,8,4,12,2,,,,
268,13,1,14,13,,,,
350,40,5,45,8,,,,
360,178,2387,2565,0.07457059069962296,,,,
412,321,72,393,4.458333333333333,,,,
421,189,120,309,1.575,,,,
427,8,11,19,0.7272727272727273,,,,
432,75,59,134,1.271186440677966,,,,
497,233,31,264,7.516129032258065,,,,
516,117,5,122,23.4,,,,
517,459,193,652,2.378238341968912,,,,
518,30,6,36,5,,,,
523,159,21,180,7.571428571428571,,,,
555,117,28,145,4.178571428571429,,,,
777,185,259,444,0.7142857142857143,,,,
875,524,107,631,4.897196261682243,,,,
876,270,331,601,0.8157099697885196,,,,
